Frame,Right Lower Leg x_mean,Right Lower Leg x_std,Right Lower Leg x_min,Right Lower Leg x_max,Right Lower Leg x_auc,Right Lower Leg x_peaks,Right Lower Leg y_mean,Right Lower Leg y_std,Right Lower Leg y_min,Right Lower Leg y_max,Right Lower Leg y_auc,Right Lower Leg y_peaks,Right Lower Leg z_mean,Right Lower Leg z_std,Right Lower Leg z_min,Right Lower Leg z_max,Right Lower Leg z_auc,Right Lower Leg z_peaks,Left Lower Leg x_mean,Left Lower Leg x_std,Left Lower Leg x_min,Left Lower Leg x_max,Left Lower Leg x_auc,Left Lower Leg x_peaks,Left Lower Leg y_mean,Left Lower Leg y_std,Left Lower Leg y_min,Left Lower Leg y_max,Left Lower Leg y_auc,Left Lower Leg y_peaks,Left Lower Leg z_mean,Left Lower Leg z_std,Left Lower Leg z_min,Left Lower Leg z_max,Left Lower Leg z_auc,Left Lower Leg z_peaks,class_mean,class_std,class_min,class_max,class_auc,class_peaks,rms_xy_right_lower_leg_mean,rms_xy_right_lower_leg_std,rms_xy_right_lower_leg_min,rms_xy_right_lower_leg_max,rms_xy_right_lower_leg_auc,rms_xy_right_lower_leg_peaks,rms_yz_right_lower_leg_mean,rms_yz_right_lower_leg_std,rms_yz_right_lower_leg_min,rms_yz_right_lower_leg_max,rms_yz_right_lower_leg_auc,rms_yz_right_lower_leg_peaks,rms_zx_right_lower_leg_mean,rms_zx_right_lower_leg_std,rms_zx_right_lower_leg_min,rms_zx_right_lower_leg_max,rms_zx_right_lower_leg_auc,rms_zx_right_lower_leg_peaks,rms_xyz_right_lower_leg_mean,rms_xyz_right_lower_leg_std,rms_xyz_right_lower_leg_min,rms_xyz_right_lower_leg_max,rms_xyz_right_lower_leg_auc,rms_xyz_right_lower_leg_peaks,rms_xy_left_lower_leg_mean,rms_xy_left_lower_leg_std,rms_xy_left_lower_leg_min,rms_xy_left_lower_leg_max,rms_xy_left_lower_leg_auc,rms_xy_left_lower_leg_peaks,rms_yz_left_lower_leg_mean,rms_yz_left_lower_leg_std,rms_yz_left_lower_leg_min,rms_yz_left_lower_leg_max,rms_yz_left_lower_leg_auc,rms_yz_left_lower_leg_peaks,rms_zx_left_lower_leg_mean,rms_zx_left_lower_leg_std,rms_zx_left_lower_leg_min,rms_zx_left_lower_leg_max,rms_zx_left_lower_leg_auc,rms_zx_left_lower_leg_peaks,rms_xyz_left_lower_leg_mean,rms_xyz_left_lower_leg_std,rms_xyz_left_lower_leg_min,rms_xyz_left_lower_leg_max,rms_xyz_left_lower_leg_auc,rms_xyz_left_lower_leg_peaks,roll_right_lower_leg_mean,roll_right_lower_leg_std,roll_right_lower_leg_min,roll_right_lower_leg_max,roll_right_lower_leg_auc,roll_right_lower_leg_peaks,pitch_right_lower_leg_mean,pitch_right_lower_leg_std,pitch_right_lower_leg_min,pitch_right_lower_leg_max,pitch_right_lower_leg_auc,pitch_right_lower_leg_peaks,roll_left_lower_leg_mean,roll_left_lower_leg_std,roll_left_lower_leg_min,roll_left_lower_leg_max,roll_left_lower_leg_auc,roll_left_lower_leg_peaks,class
0,0.025232722183333327,0.19633597605562295,-0.337957146,0.685026959,1.5139633309999996,14,0.008459703300000008,0.36898474615193977,-0.738635782,0.801464833,0.5075821980000005,12,0.01219330045,0.10695881083053982,-0.288199502,0.334382493,0.731598027,20,-0.04255499414999999,0.29735639973948214,-1.845127872,0.48590232,-2.5532996489999995,16,0.14153787673333335,0.5279947998194883,-0.879383096,2.813391035,8.492272604,10,0.01995132096666667,0.09818383861507944,-0.17935642,0.331609149,1.197079258,16,0.0,0.0,0,0,0,0,0.3530741299268391,0.22055288317423724,0.014047171585760352,0.8057689104022688,21.184447795610346,17,0.3227544363538247,0.20464085507986818,0.026902927902117815,0.802866823017798,19.365266181229483,17,0.18236926827327654,0.13024755892951426,0.04615491262359414,0.7431829435003441,10.942156096396593,19,0.3736301263803118,0.21223486812299067,0.067026057785882,0.8071634245540575,22.417807582818707,18,0.37337392900315713,0.49763694686337123,0.023839892967935847,3.364471129293521,22.40243574018943,15,0.3280064067160779,0.4469722110195256,0.009847321876718055,2.828623335303361,19.680384402964673,12,0.2009778900697071,0.24337336210499022,0.010414970874267916,1.8682713189565336,12.058673404182425,17,0.39070463341691686,0.4941871489923154,0.0753521190585105,3.377218802069827,23.442278005015012,14,-0.727516661911689,56.890762825203275,-82.74010781762304,83.99944874648877,-43.650999714701335,12,-3.3905680837566226,32.411055706174324,-77.63921057723931,84.1188437611554,-203.43408502539737,16,16.349235883467294,49.637224292703756,-83.11223461166563,85.05544888493677,980.9541530080376,15,0
60,-0.2693074669166667,1.568114299305924,-5.189986062,3.33249957,-16.158448015,15,-0.17018921528333336,3.0661585437757566,-8.166907213,10.66927739,-10.211352917000001,13,0.07493141839999999,0.5720763957095409,-2.037135736,2.34074034,4.495885103999999,15,0.08621632151666671,1.5453245161767801,-2.87569006,3.766487869,5.1729792910000025,12,-0.09936171074999997,2.4097527903617917,-5.811444551,3.90368697,-5.961702644999998,8,0.07913045256666668,0.9072430908628084,-1.827453125,3.063764419,4.747827154,13,0.0,0.0,0,0,0,0,2.25424223564635,2.606872595529332,0.21622244262016035,10.717091594713537,135.254534138781,15,1.9813368694894689,2.4024012536597135,0.04215728047231664,10.679440334025786,118.88021216936814,16,1.1243938073660271,1.25699241091094,0.04043401550015824,5.243433753265271,67.46362844196163,15,2.321361560470729,2.610833065892152,0.2498277281952038,10.72720923971986,139.28169362824374,17,2.2593682655690674,1.7381799780920297,0.1795046251399485,6.858831076503109,135.56209593414405,11,2.0961351663994936,1.4758566497961663,0.18935814542752508,5.878139843344464,125.76810998396961,11,1.4967221823263621,0.9730870915766389,0.13937022869931312,3.89949312705894,89.80333093958173,13,2.479053136741358,1.6709651532498841,0.3580725283667534,6.9154323064122964,148.7431882044815,12,2.5957268181638358,55.053649806937536,-79.65187470765602,88.37263882722,155.74360908983016,14,11.596101714447428,37.250648726562844,-59.69811610412235,85.62650218823899,695.7661028668457,16,-5.842137125032672,49.602587224549666,-83.19146116024773,84.21333454072358,-350.5282275019603,11,0
120,0.37725692161666663,1.9956530243039625,-3.352960322,10.06956827,22.635415296999998,14,0.1680261995166667,1.8196841926931735,-3.320318742,5.657845355,10.081571971000002,11,-0.1734628429,0.8215344348928223,-2.765553271,1.563757854,-10.407770574,13,0.10844905984999996,1.8401396665183896,-4.034104056,4.257635373,6.506943590999998,12,-0.10424350605000002,3.1544619370311526,-6.387720257,9.033330671,-6.254610363000001,11,-0.19542389889999998,0.8183875812130688,-1.848278234,2.478722428,-11.725433933999998,11,0.0,0.0,0,0,0,0,2.0024905601746292,1.8410306639060492,0.025877250538127596,10.510357505226176,120.14943361047776,17,1.6337833355736306,1.1536856516153462,0.07513593488751755,5.659368427145197,98.02700013441783,15,1.4646992088507613,1.6282440456972294,0.04943017645928143,10.127611536400652,87.88195253104568,18,2.172311025624976,1.8368257800101366,0.21974527722977624,10.565979612686606,130.33866153749855,17,2.7757896914454623,2.350351837794283,0.12495853472787301,9.72443085399241,166.54738148672774,14,2.4596874666424595,2.1254813966622335,0.03703632292151072,9.040938534530754,147.58124799854758,14,1.6368108687928582,1.1756323506949014,0.08968449486343325,4.313935287130992,98.2086521275715,17,2.9331062848555822,2.3063875696477334,0.1525952081194009,9.73149844615994,175.98637709133493,14,6.798194677499191,50.66250282388468,-74.74233414063895,85.51221490916288,407.8916806499514,14,6.456442156303314,36.303028911003025,-53.237054221203564,85.70266758234203,387.3865293781989,15,2.0620312175649467,53.304426874687536,-76.92624316486987,85.8196092804775,123.7218730538968,16,0
180,-0.07807259811666666,0.7524455873962959,-1.402395389,1.907961048,-4.684355887,15,0.021141329699999992,1.0267811418961974,-2.335901524,2.811168979,1.2684797819999996,12,0.0684800695,0.787934139198194,-1.372357406,2.382665021,4.10880417,11,-0.07752776333333333,0.7293485762559381,-1.881106042,1.909875754,-4.6516658,14,0.1068507716,1.2220834924851878,-2.611395395,3.480400213,6.411046296,12,0.07049966161666668,0.6181884246085069,-1.233577052,1.292407287,4.229979697000001,11,0.0,0.0,0,0,0,0,1.0910351430909997,0.6454252943118858,0.036657283658550116,2.832430013460948,65.46210858545999,16,1.1231313271103682,0.6305071057167911,0.3178242315846626,2.823475901132476,67.3878796266221,16,0.9557362389815804,0.5187181908928917,0.13379970093297305,2.390129469093673,57.344174338894824,16,1.3636020589202191,0.6014900251938623,0.47712677867950537,2.844644954460632,81.81612353521315,14,1.137233711400835,0.8531937479124644,0.15414957958102024,3.7454028913883124,68.2340226840501,14,1.1140923370960059,0.7937701040910273,0.07991642477202734,3.481460242373722,66.84554022576035,16,0.8186834030200139,0.49363001114178334,0.10384448682641391,2.2495048976319025,49.12100418120083,17,1.308293838084804,0.8304988339653442,0.15661202064655722,3.746387939789255,78.49763028508823,15,-0.394610956814917,44.86413257865554,-84.09631964241575,81.2013298154978,-23.676657408895018,12,-6.134538024685814,35.63648528591126,-74.2279761847526,69.92989846749316,-368.0722814811489,14,2.582601558891987,47.5074587290077,-83.79294095781094,79.24413496528064,154.9560935335192,13,0
240,-0.08037076638333333,0.6962326852432922,-1.114382969,2.38837029,-4.822245983,14,-0.025777430099999988,0.8971348272979752,-2.495246486,1.814753689,-1.5466458059999992,15,-0.011527958083333309,0.8125486655862886,-1.59649365,1.650904101,-0.6916774849999985,10,-0.08496362608333334,0.8498319441017437,-2.097705928,2.389346448,-5.097817565000001,15,-0.06281670749999999,1.67903596630763,-3.492320554,3.678036561,-3.7690024499999994,8,-0.03162994108333335,0.9111318012332333,-1.574028215,2.046562342,-1.8977964650000008,11,0.0,0.0,0,0,0,0,0.9610267761821945,0.5980044279910735,0.045119401564227835,2.6026605383058072,57.66160657093167,17,1.0222722642022342,0.6349362033787823,0.12072371989056704,2.58866617536045,61.33633585213405,15,0.9000888432505548,0.5725276628744317,0.11597884092860956,2.726548835254654,54.00533059503329,13,1.213586056554882,0.6778291327900199,0.12259907928869992,2.734616265321411,72.81516339329292,13,1.6262803569228594,0.9290400356625088,0.33031155406448315,3.6807351661968175,97.57682141537157,14,1.6163500156336448,0.9987415328719825,0.12529306061389986,4.209081890833823,96.98100093801868,13,1.0568692537693611,0.6517896241607246,0.05480169209463097,2.4787989717926906,63.412155226161666,18,1.831556544983219,0.9861296437164976,0.3644654409329251,4.211440226736032,109.89339269899314,15,0.01950375326619896,42.367875051552915,-71.54003447337267,74.57697954017885,1.1702251959719376,16,-8.19624204736274,33.90492940036932,-75.32846892775788,60.854304210910364,-491.7745228417644,17,-7.619793024186794,53.59299440613458,-84.87785793234855,83.69323624532156,-457.1875814512077,13,0
300,0.03993117468333332,0.9870622275729969,-1.702797595,2.663365141,2.3958704809999993,10,-0.004601878333333291,1.2410492107193667,-3.116096744,3.253932264,-0.27611269999999744,10,0.0033882821499999992,0.8744874624551225,-2.157971482,2.250118697,0.20329692899999996,12,-0.010705217533333344,1.3843034090020978,-4.387361495,3.578354662,-0.6423130520000007,12,0.03321599261666667,1.73624386251382,-4.204601722,4.409035919,1.992959557,8,-0.03556749758333337,1.0955678508228999,-2.911966158,3.414722451,-2.1340498550000024,11,0.0,0.0,0,0,0,0,1.371629343907518,0.7764556719843152,0.11691442392866255,3.5309671305357138,82.29776063445108,15,1.3021985836497265,0.761907139327443,0.07265424529226402,3.2586377758208034,78.13191501898359,15,1.1248041831724789,0.673813852275393,0.10941077956716873,2.881384155427341,67.48825099034873,17,1.6165551917950627,0.7895156548355332,0.31754049405455187,3.535303926429777,96.99331150770377,14,1.8427150328094735,1.2161110196976124,0.16453573024098553,5.482116661757816,110.56290196856841,13,1.6627757777950478,1.1855528067374435,0.11684866210489639,5.576730866053661,99.76654666770287,15,1.3645885875113422,1.1064830826250862,0.16507436504316433,5.037917237364981,81.87531525068053,15,2.0616480474473877,1.345808085647001,0.22361533686130636,6.458632402489409,123.69888284684326,13,-1.791197920494974,47.06984702195693,-84.15186543798649,76.76595017581128,-107.47187522969844,14,-0.33393196117975565,38.863040833473434,-84.65005046181687,70.75444849229396,-20.035917670785338,13,-1.6939380259470738,49.50778609832527,-83.81272528533142,80.34914024364696,-101.63628155682443,11,0
360,-0.035514847816666646,0.9522259806974186,-2.723390939,2.684515158,-2.1308908689999986,13,-0.012166795016666666,1.7000851309722411,-4.214662421,4.40293942,-0.7300077009999999,11,-0.01731897709999999,0.9974437026141566,-3.133530649,2.548386693,-1.0391386259999995,13,-0.0053047259000000065,0.7615391080450742,-2.023930829,1.506483641,-0.3182835540000004,13,-0.00784947643333334,1.7037821431445999,-5.014221021,4.837585207,-0.47096858600000047,10,-0.0008476201166666771,1.1045754248287547,-4.038512777,2.808332146,-0.050857207000000626,13,0.0,0.0,0,0,0,0,1.6078540004192914,1.0814091042955252,0.09573535392774088,5.156791363796067,96.47124002515748,16,1.611211102125851,1.116081415907604,0.2819746410391671,5.0872537063969405,96.67266612755107,16,1.0589213340241754,0.8734393231056647,0.08430206573873782,3.934064287951965,63.53528004145053,16,1.8278131816225482,1.1815792380859695,0.3501665693143795,5.765435035166782,109.66879089735289,15,1.505031558476372,1.0859994584517265,0.0866041295335182,5.119499857177515,90.30189350858232,15,1.5510933741360724,1.2947414362163998,0.06959853353963444,5.967107328011966,93.06560244816434,17,1.0838364249655956,0.7781043893249339,0.1143610550128672,4.255116521491938,65.03018549793573,16,1.7642236068311083,1.2400626447739482,0.5513608382049413,6.055843145608745,105.8534164098665,16,5.893076315809158,54.49455166756531,-83.64282112843841,82.46400047813795,353.5845789485495,11,1.855867051566912,32.167044377347736,-67.86781089185615,72.35823215005709,111.35202309401473,13,-2.534189087336929,49.214740507543496,-84.32226564729075,80.83317116334608,-152.05134524021574,11,0
420,-0.08944602033333333,0.6666351482763648,-1.765837953,1.574287486,-5.36676122,12,0.12050988665000002,0.8974952578026567,-2.245455258,2.764185903,7.230593199000001,16,-0.019442092766666683,0.589489606237237,-1.524904602,1.688771369,-1.166525566000001,14,0.0014424113166666762,0.8960555665935656,-3.241935746,3.43013877,0.08654467900000057,15,-0.08333783199999999,1.3461347209910055,-2.620202578,4.899240777,-5.000269919999999,14,-0.02890414061666667,0.6344003028918214,-1.529192767,1.763236055,-1.7342484370000002,13,0.0,0.0,0,0,0,0,0.8987565442648454,0.6718265415199096,0.10744647664966528,2.7831414208823353,53.925392655890725,18,0.8463879798326505,0.6630493143909001,0.06007083961078224,2.8329608945692963,50.78327878995903,17,0.7233820504698733,0.5179481072254815,0.04397486552658522,1.8150756133516557,43.4029230281924,14,1.0641324242640295,0.6849210672695197,0.1894092474171027,2.8514592566694485,63.84794545584177,17,1.2674346327444999,0.9942040957310129,0.081638256790891,5.497400562452916,76.04607796466999,15,1.1617377678948713,0.9219246962214028,0.13136834030486946,4.948886697681613,69.70426607369228,15,0.8059335555279745,0.7387104898307633,0.05377875812354445,3.588748099476959,48.35601333167847,18,1.3859581763739695,1.0353430777201804,0.14186605458964913,5.541690382864068,83.15749058243817,15,-3.1192162518637265,46.672524876571934,-86.06877745115098,75.7878810343477,-187.1529751118236,15,-6.0429516495666045,41.18098962981313,-83.02660238521212,75.7878339899455,-362.57709897399627,13,-14.39410268427688,53.16617646851611,-88.24497853797632,73.8978490635842,-863.6461610566129,16,0
480,0.02279244301666667,1.1069492943285113,-1.947094925,3.193901922,1.3675465810000003,11,-0.09187285065000003,1.037601951847148,-2.427641235,3.041890893,-5.512371039000002,13,0.038306441266666685,0.4597553820504559,-1.394714635,1.304209693,2.298386476000001,15,-0.00871535641666669,1.1054563154575172,-2.461791384,2.433827176,-0.5229213850000014,11,0.001372334833333299,1.4490404022916212,-2.846393734,3.596045778,0.08234008999999795,13,0.015853995666666655,0.5671147009957314,-1.674089006,1.640622025,0.9512397399999993,14,0.0,0.0,0,0,0,0,1.326610058682615,0.7220412518337889,0.2347867044678999,3.3851619067561867,79.5966035209569,15,0.9414803827705346,0.6298094689762981,0.12173607715138333,3.0420229124004527,56.48882296623208,15,1.016808920489613,0.622340895569849,0.1204164255227002,3.217359159069207,61.008535229376776,13,1.402436015102071,0.7237202328045761,0.24695205347712768,3.4073026877640915,84.14616090612425,13,1.6383105739105719,0.7695952234320328,0.24360320405202868,3.6026050649033983,98.29863443463431,14,1.3544735387990596,0.7455878471637268,0.17635065374564507,3.682376811627567,81.26841232794358,17,1.0718829097161426,0.6128451609573876,0.09490913454175169,2.4912843919204684,64.31297458296856,14,1.7488868855786222,0.7302461909206318,0.3709398041869768,3.6887825903688602,104.93321313471733,16,-0.26060873677330343,43.8326135746319,-79.09538593536507,83.9604988464424,-15.636524206398207,14,-3.6198262883296324,48.70790930903952,-78.80731115214166,77.57196051405211,-217.18957729977794,13,-0.1323405989228085,51.388468014209344,-82.31097551968942,85.95847219892386,-7.940435935368511,12,0
540,0.020083865383333326,1.2509950423537717,-2.395448324,2.764839446,1.2050319229999995,10,-0.055439182999999996,1.0463679338358511,-2.547882399,1.610573788,-3.32635098,11,0.008832382450000004,0.570325144629117,-1.437889516,1.511557829,0.5299429470000002,13,-0.016255157400000005,0.9779344739076473,-1.593967491,1.975530054,-0.9753094440000003,9,0.01560691868333332,1.2892878040392761,-2.754282379,3.17633156,0.9364151209999991,10,0.0030754292666666733,0.6869427633501237,-1.766484863,1.176393839,0.1845257560000004,14,0.0,0.0,0,0,0,0,1.4443039773413042,0.7362337233682472,0.24308569482041842,3.572726947969221,86.65823864047826,13,1.049608026622092,0.5504653048123562,0.009969738583101363,2.5970696171916923,62.97648159732552,16,1.1745859603112692,0.698364363848216,0.09537120197961048,2.8528498901819797,70.47515761867615,14,1.5676636727955322,0.6996693775099622,0.34127695958721305,3.6079694735615035,94.05982036773193,15,1.4387950723640146,0.7168800869495205,0.19246118595542952,3.1865464284793736,86.32770434184087,15,1.2457083311353814,0.7458685981764882,0.06675936171241416,3.358234509152347,74.74249986812288,14,1.050298640004405,0.5538052163223062,0.18366607599576104,2.619102035804072,63.01791840026429,14,1.5833348124810458,0.7359317066974291,0.3361329076456012,3.367897709293488,95.00008874886275,15,0.10323769772525673,43.15118384823666,-85.42187344394507,71.65045225776426,6.194261863515404,13,-1.6163649526245891,47.02750755936381,-86.6121182750572,89.77322087276784,-96.98189715747534,14,-5.324758466171422,47.35127547876555,-80.54291474402551,75.62886033670462,-319.4855079702853,10,0
